names,values_a,values_b
Katharine Kerluke,5142,4956
Mr. Gustaf Greenfelder,5267,8335
Harman Mueller,2086,3798
Dr. Latrice Lebsack,968,1836
Dr. Corwin Runolfsson III,8968,7365
Infant Daugherty,4802,4496
Kolby Moore-Tromp,1692,4241
Maegan Gutkowski,2901,5063
Amos Russel,5735,1324
Dr. Tallie Little,5642,9084
Audrina Hudson,3497,6628
Sienna Kuphal,9754,5276
Mr. Nestor Bins,3249,8905
Lambert Boehm,5673,7466
Elle Feil,4783,7053
Ms. Phylis Schimmel,9166,4360
Consuelo Cruickshank,9727,4904
Octavio Osinski,8428,1559
Miss Clarabelle Lindgren PhD,7421,6394
Dr. Anthony Jakubowski,6265,1836
Moriah Rowe,8908,6195
Nita Gerhold,8106,7185
Jasmin Hahn,63,9487
Mr. Keegan Langworth,9705,9843
Hildur Klocko,5344,3223
Mr. Kyree Kozey,4966,1948
Darin Kertzmann,8354,4197
Chaz Wolf-Howell,7252,5283
Steven Legros,6726,1685
Shanta Bauch-Runolfsdottir,3173,2085
Anders Reichel,2255,1873
Mrs. Genesis Abshire DVM,3638,7387
Dr. Karson Koss III,600,1638
Trisha Dietrich,9957,2392
Burke Hane,3738,4483
Junia O'Keefe,3766,2398
Mervin Cummings,9327,3371
Sylva Osinski,9943,9097
Royce Schuster,8117,1691
Dr. Matthias Reinger,2780,4044
Benton Fahey,9634,9982
Darwyn Beahan,7681,2821
Dr. Dimitrios Smitham,4593,4185
Leonidas O'Hara III,8923,3745
Jayvon Hyatt,9739,2467
Anthony Bogisich,1337,8682
Mrs. Tatianna Ortiz MD,6913,8270
Miss Zada Christiansen,4823,824
Archer O'Conner-Schmitt,7628,6181
Tillie Adams,3864,6398
Signe Jaskolski,6251,8546
Lessie Tromp PhD,9531,5201
Dr. Weaver Howe DVM,3254,7714
Cambria Metz,3156,1804
Brigid Roberts,5228,5460
Schuyler Welch,9228,4444
Miss Bernita Weissnat DDS,9048,8116
Corda Morar,301,2220
Edd Fadel I,525,5872
Mr. Antoine Little,714,7420
Dr. Huston Crist DDS,9622,4733
Kamari Bergnaum,5659,1522
Fronie Kertzmann MD,2137,3360
Delisa Mitchell,3281,5036
Dr. Virdie Windler PhD,4775,8761
Corene Buckridge-Lockman,5728,1406
Myrl Gerhold,8587,3
Linton Gerhold,7859,7162
Mr. Jonnie Zulauf,8344,7073
Madeline Mante-Roberts,2523,6154
Bode Zemlak,8934,5142
Trinity McGlynn MD,2285,2221
Elida Zulauf MD,2906,6645
Miss Ayana Terry,9134,8109
Elvera Hoppe DVM,5948,3914
Ronnie Reichel-Trantow,3427,3448
Dianna Mueller,1984,5222
Mr. Earle Koss,4058,8627
Mr. Cannon Bechtelar,1616,8786
Dr. Toy O'Kon,7924,5823
Miss Ina Dooley PhD,7302,991
Dr. Alline Hansen,5223,2451
Lloyd Hills,5252,2361
Abelardo Fisher,5990,9936
Bartholomew Mills V,5055,8669
Ted Luettgen-Heidenreich,3624,5890
Cameron Erdman,2595,7591
Shaquan Mante-Daugherty,4166,6837
Estela Runte,7562,956
Stephany Grady-Sporer,5825,1235
Lacy McClure,9973,3156
Cassie Rempel,2578,9053
Mr. Roderick Crooks MD,8298,5428
Dr. Noel Bernier,2679,1311
Mr. Xavier Bernier MD,798,1857
Thor Greenholt,9223,7982
Rudolph Reichel,5586,7217
Latrina West,2992,6025
Ancel West DVM,9698,6322
Clifford Dicki-Schaefer,1450,6755
Jailyn Krajcik,6564,6394
Vassie Cassin,9764,8373
Fredie Kris,4451,8008
Jeb Kreiger,9433,4250
Sena Lynch,443,7295
Lashonda Prosacco,1528,5029
Mrs. Carma Lowe,6371,28
Ms. Elsie Sanford PhD,8697,5934
Kymani Stehr,8882,4285
Elizabeth Boyer,7384,1709
Mr. Arley Schmitt,5488,2041
Malachi McDermott,553,7920
Kate Heathcote,1761,4223
Jayden Block,8991,7416
Mr. Ridge Bartell DDS,7417,6908
Kareen Bergnaum,9979,8653
Hillary Thompson,255,3449
Sarrah Kessler,6212,2250
Alani Emard,6581,2269
Palma Morar,2526,1330
Roxanna Bernier,6684,6775
Dr. Auston Cummings DVM,4257,7589
Tilman Kunze,8869,5876
Ceil Pfeffer,5646,1920
Aiden Volkman I,233,1600
Mr. Lone Little,4535,578
Dempsey Leffler,4544,8293
Sandy Hauck,6439,419
Koby Grimes,9321,8560
Ms. Emma Schinner MD,1457,3813
Pepper Schiller-Baumbach,1005,3676
Hobert Pfeffer,2597,1505
Arletta Roob DVM,8780,1916
Devante Padberg,9420,4079
Gaetano Schiller,1940,6201
Margaret Koch,2312,9136
Carli Welch,1385,9054
Drucilla Daugherty,8930,2278
Oran Little,999,7075
Konnor Stiedemann,3914,1058
Mr. Zavion Huel,279,7933
Deegan Von,2078,8107
Murry Dare-Graham,1220,3439
Lilyanna O'Conner,8017,667
Sharde Wilderman-Effertz,9698,3892
Dr. Andra Konopelski V,2668,8772
Lilyan Dooley,628,3657
Harris Schulist,6104,1575
Olevia Bauch-Koepp,5078,3112
Jacey Spencer,550,5990
Iona Zemlak,8117,5255
Casimir Jones,7668,6886
Sunny Kessler,1874,9791
Henery Stanton,7396,4834
Kareen Greenfelder,2848,9062
Else Purdy,7783,954
Arnoldo Leannon,4801,6785
Arlen Roberts,6574,5765
Leland Smitham,6522,571
Kristina Buckridge,4834,9597
Imanol Stehr,7259,4611
Hosteen Moen,3200,4207
Micayla Sauer,4242,4295
Emanuel Hessel,6936,863
Bennie Klocko,6219,512
Suzanne Nienow,9107,8852
Denzell Hintz,1095,9127
Olie Kulas MD,6738,5537
Kandice Koelpin,8568,9558
Rice Murphy,7426,473
Harm Cronin-Hartmann,5029,8955
Mr. Jeff Bednar,4632,5620
Ferman Jast,3535,805
Melvin Gaylord,5465,4873
Luvenia Lind-O'Kon,7632,9209
Allean Batz,1656,8124
Miriah White,3354,62
Donie Herman,7981,3186
Vicky D'Amore,4535,8882
Oneida Shields DVM,6118,9918
Kerry Larkin,2441,400
Ms. Mallie Jones MD,7336,7993
Forest Corkery,668,3552
Paris Emmerich IV,3683,6234
Jett Schuppe-Koelpin,1796,7319
Polly Larson,9698,2125
Carroll Connelly-Littel,6619,5527
Mr. Cayden Marquardt,4559,3586
Grace Anderson,941,1373
Annmarie Jaskolski,4514,9835
Ms. Fleta Fadel MD,2239,7896
Mrs. Orilla Barton DVM,5853,2229
Golden Schulist V,4180,2256
Isabella Dickinson,5669,6701
Elwanda Strosin DDS,8045,2886
Ms. Diamond Stokes DVM,249,8453
Ben Keeling I,8058,2929
Mylee Flatley,5716,5423
Trey Grimes I,9418,7676
Mr. Council Huels,9619,3369
Orris Rau Jr.,4049,6414
Arron Klein MD,4140,1608
Renea Turner-Yost,4161,9207
Miss Dorathy Sawayn DVM,5505,3797
Greyson Blick-Considine,9515,2291
Mrs. Kaliyah Hahn,1912,9744
Kenny Boyle DDS,2591,4607
Miss Vivien Leannon PhD,2259,3803
Lafe Lowe II,5731,4764
Obe O'Connell,5085,5815
Obe Macejkovic,8168,8300
Ms. Lacy Bosco,5189,5198
Lawrence Doyle I,8661,2647
Jakobe Schmeler,4789,9333
Watt Waters-Hilpert,6632,6602
Delfina Nader,7237,9785
Merrill Goyette V,3461,9720
Aileen Schumm,2423,7988
Hillery Hagenes,1806,2699
Andra Braun,175,5364
Wayde Smith,276,9551
Dr. Lexus Herman MD,7601,1288
Bree Muller DVM,686,2220
Larae Schiller,5246,5258
Cordelia Bode PhD,9321,7637
Britton Heidenreich,6562,9119
Leighton Dickens,5560,1977
Zaida Jacobson,8231,4429
Birdie Casper,3605,5313
Sarrah Lehner,2130,2515
Signa Turcotte,4592,8054
Ivana Gutkowski,9434,6019
Lavon Pfannerstill,9548,4173
Miss Kiyoko Purdy DVM,3793,4444
Claudie Kohler DDS,3570,6653
Malachi Upton,7035,4765
Kya Kreiger,4462,7930
Miss Vernell Denesik DDS,5090,6853
Ananias Streich,6168,8589
General Kunze,164,4997
Gerda Satterfield,961,7108
Rylee Thiel,6291,5518
Lissie Murphy-Boyle,4582,8779
Rosann King,237,4210
Kenia Kulas,5837,6343
York Weber,8383,6565
Kimberli Harber,2248,7964
Ms. Melody Schultz DDS,3259,1032
Raelyn King,5966,3375
Marian Rosenbaum,6031,931
Leonardo Emmerich,6370,6906
Ms. Nathalia Hilpert,9345,2962
Jaydan Trantow,9028,9840
Dr. Glenda Kerluke PhD,3150,3122
Kiera O'Kon,2301,6907
Tennessee Brown DDS,2801,7653
Dr. Wendel Goyette,1768,867
Dr. Kipp Dietrich Jr.,5257,5483
Ms. Ardell Ratke,1001,60
Yamilet Cruickshank DDS,4564,7264
Dallas King,8240,1402
Ansel Boyer-Hayes,6923,5124
Clabe Sauer,4468,4192
Marget Roob MD,487,3163
Socorro Donnelly,722,3618
Dr. Gisele Hackett MD,9993,7308
Mr. Braxton Kshlerin,1343,5163
Dr. Treyton Conroy,1851,8893
Ms. Deirdre Stark MD,6178,9432
Harry Botsford,2645,1879
Wende Weber DDS,4502,4010
Abbigail Klocko,1455,4038
Lucien Cole,5088,7965
Oscar Murphy,8507,1385
Dabney Moore,9015,9329
Miss Kloe Gusikowski PhD,9382,2380
Michal O'Connell,8840,9011
Georgina Wunsch,233,2547
Zola Pagac,4469,8313
Ingram Schaefer,2385,5897
Mrs. Karrie Buckridge MD,2402,1459
Narcissus Rolfson,8296,2716
Maverick Bergnaum,7054,8623
Zenas Bins,548,1684
Katarina Paucek,1116,1928
Jacoby Sporer-Bayer,9638,1129
Dewitt Gorczany,1685,253
Rice Kutch,8954,1039
Truman Lehner,4836,5315
Hosie Senger,4605,2320
Karon Rutherford,481,4001
Porfirio Rosenbaum-Prohaska,4984,7445
Kermit Williamson MD,8634,3775
Mr. Lowell Kutch MD,2831,5800
Mathias Lakin,3573,1623
Keyla Homenick,5031,1528
Powell Hilll I,5125,8246
Trevin Johnston,7991,7734
Sigurd Marquardt-Hermiston,1788,842
Melton Armstrong,151,5221
Lambert Pacocha-Schaefer,7075,4239
Gary Cole PhD,9372,8217
Marques Rath,7471,3002
Woodroe Conroy,5068,2596
Calista Hayes-O'Connell,9325,8398
Sophie Botsford,2761,4536
Maureen Rempel,9877,5734
Loran Morar,7280,3507
Jerrad Zieme,7602,4711
Aidyn Waelchi,515,5984
Mr. Eligah Bergstrom,2298,323
Myrtle Jones-Brekke,9584,9081
Camisha Lockman DDS,5065,8180
Luca Auer,3661,414
Dedra Price,9915,6642
Rosia Walter,7217,3278
Shelva Ledner,4158,6749
Dr. Nayely Considine MD,3589,7512
Morton Pacocha,7093,403
Brycen Kautzer-Medhurst,2203,5855
Ms. Amira Stokes DDS,421,9382
Oneta Breitenberg,9667,8289
Ayden Gerlach,4765,4802
Charley Beatty-Jacobson,1221,5803
Calista Powlowski-Olson,5120,6973
Jaymes Langosh,1015,363
Carmen Nitzsche-VonRueden,8264,5164
Casey Roberts,6144,8503
Dannie Schinner,8199,2757
Mr. Foy Nolan MD,5444,9159
Freddy Brekke,7291,9653
Ayana Dooley-Flatley,9888,2691
Johana Yundt,168,7977
Marlyn Zulauf,9156,1374
Joel Farrell,3258,1756
Ms. Loula Wolff PhD,5704,8082
Kelis Erdman,7028,9375
Maliah Lind,106,6361
Thyra Bartell,6909,1406
Mr. Clemens Klocko DVM,7793,3179
Sonny Watsica,9579,5504
Virgel Turner-Stroman,3131,8434
Pricilla Kozey,5244,5231
Stewart Green,9441,2484
Mr. Auston Bauch MD,3016,7970
Mr. Brenton Bogan MD,5854,6965
Ryland Dare,5179,9510
Jaylin Mraz-Bode,98,1634
Ms. Latrice Veum PhD,3029,5741
Dr. Bernardo Jones V,6467,3616
Dr. Garnett Bogan,1301,1163
Adolf McDermott,8138,2071
Alger Bashirian II,349,8383
Amerigo Will,2790,8831
Sandi Kozey-Renner,9210,6825
Dr. Reagan Schamberger,6868,9942
Brigitte Jast,4909,1938
Samira Bednar PhD,1603,8926
Mr. Steward O'Keefe,9570,752
Grafton Murphy,1280,1401
Auston Hilll-Gerhold,3954,6292
Lacey O'Hara,4388,8721
Dr. Eli Bayer V,7270,3765
Mr. Lacy Hansen MD,8451,6861
Attie Ullrich,6056,1924
Brooke Cummings,8548,5685
Everette Hessel,6352,898
Adelynn Hintz,7116,6196
Ms. Pauletta Bradtke MD,8664,1544
Talen Schamberger,2920,4253
Francina Batz,5931,9847
Vick Prosacco,1312,3045
Dr. Trinity Blanda Sr.,552,4680
Dr. Lilyanna Dooley DDS,1551,5502
Alfredo Goldner-Moore,3601,3369
Dr. Rico Hirthe II,2549,6851
Miller Kovacek,2236,8775
Elena Walter,4334,8984
Dr. Hiroshi Bartoletti,1322,1729
Willard Lind II,9610,8260
Mr. Nile Greenholt,3824,89
Yael Runte,5708,3
Ms. Audriana Langworth PhD,4413,5253
Princess Adams,5548,4261
Mr. Polk Kilback,3105,8410
Ayana Roob-Veum,1306,4980
Edmon Rau,2741,5078
Darline Renner,9673,6223
Korey Kuhic,3854,1104
Gale Hermann-Schimmel,3359,7400
Lanita Haley,953,7826
Miss Marquita Mante DDS,9849,7463
Raven Marquardt Sr.,5350,7940
Crystal Stanton PhD,7829,4837
Alvena Kovacek,3783,9635
Miss Abigail Effertz DVM,1309,52
Julianne Wisozk PhD,2317,567
Miss Tilla Doyle,1442,880
Isidore Greenfelder,7554,2119
Bridgett Jakubowski,8419,7318
Rolland Witting,3479,4885
Zakary O'Hara-Lueilwitz,730,4003
Janiah Schuppe,9023,7809
Bertrand Mills Sr.,6294,5172
Heidi Reichel,9337,9977
Dr. Brittney Baumbach DDS,7789,3454
Joellen Buckridge-Monahan,8446,6657
Alby Feeney,3438,5849
Lamarcus Runolfsson,1048,5075
Erline Stiedemann,4897,402
Martina Schroeder,2779,2181
Yaretzi Quigley-Abernathy,7657,1149
Amani Cummerata PhD,7815,9534
Miss Luella Padberg MD,7657,2620
Ms. Katherine Harris DVM,4159,449
Karli Pagac DDS,1541,7028
Assunta Corkery,8927,9013
Rashad O'Conner,7946,267
Jonnie Jaskolski,1001,7071
Keifer Runolfsdottir,4336,1126
Jonathon Sanford,3680,8744
Mathilda Hessel,9537,7198
Dolly Schiller,6801,4428
Rocky Green Sr.,927,6972
Angus Schimmel,6859,6551
Ms. Imani Klocko DVM,9047,4753
Charle Buckridge DVM,833,9265
Winfield Okuneva,6445,6177
Edmund Sporer,578,6518
Jaquelin Hirthe DVM,9918,6675
Ms. Leticia Aufderhar PhD,7212,3607
Leann Lockman,190,9331
Ermina Klein DVM,5897,231
Kassie Heidenreich DVM,713,9826
Latonia Morissette,9911,3220
Trayvon Tillman DDS,8939,441
Adline Quigley,4073,7986
Erykah Heaney,7874,4830
Abram Strosin-Kunze,6409,1307
Chelsi Hoeger,7578,5538
Alva Shanahan-Sawayn,9801,3873
Ms. Natalie Kunde,1554,5646
Zola Boyle,7028,3902
Dr. Lorelai Willms DDS,8166,39
Miss Chelsea Mueller,3796,8355
Nathaniel Toy,6480,3633
Kayson Upton-Franecki,1183,5746
Ximena Dickens-Pollich,4209,4188
Mike Gulgowski I,2245,5337
Katina Lindgren-Kuhn,309,1835
Norberto Stehr III,870,2814
Isis Donnelly PhD,4919,8246
Dolphus West,5812,3274
Bliss White,319,795
Ms. Norma Little,4046,1119
Felton Adams Jr.,7510,5690
Gavin Veum,8934,5627
Denny Cruickshank,6961,6607
Dr. Vinson Sawayn,7276,8697
Esker Rath II,6946,5267
Mildred Sauer,3113,2508
Lars Wunsch-Hessel,5801,6707
Dr. Pricilla Aufderhar,6181,4246
Destini Deckow,4742,1488
Mr. Taylor Walsh,1072,6412
Miss Nyree Sawayn,6014,9109
Keenan Gusikowski,7707,9154
Suzette Sporer,5048,8969
Dr. Lennie Goldner IV,5697,1138
Kaleena Frami,682,192
Mathias Morissette DDS,6923,1108
Mr. Oscar Koch,8225,2724
Mr. Lacey Dibbert I,7913,1104
Dr. Landan Treutel III,2691,5023
Yoshio Gaylord,991,4781
Jerica Gleichner,8649,284
Brennon Watsica,1881,3291
Laila Bradtke-McDermott,9089,9905
Amira Champlin,779,6265
Mr. Theodore Cruickshank,9077,5517
Johana Greenholt DVM,8838,1709
Freddy Rau,4672,9455
Dr. Claud White,3650,2574
Henretta Barton,5778,6868
Nancy Casper,3346,8764
Louie Prohaska,6688,2675
Cory Stoltenberg-McLaughlin,3303,1835
Olie Parker,6600,1306
Keenen Pagac,6513,1313
Dr. Long Gusikowski,7425,270
Myron Cummerata,3320,184
Gilbert Runolfsson-Stokes,4351,3240
Babyboy Davis-Ullrich,4806,6092
Dr. Jahir Stamm,8132,4355
Greg Dach-King,2868,2554
Soloman Kuhn Jr.,9108,4193
Mr. Palmer Lebsack,594,3599
Blanchard Moen,5761,3646
Tanner Oberbrunner,5076,4820
Elenore Prosacco,3420,4464
Dr. Elam Jaskolski DVM,579,5275
Aubree Oberbrunner,1707,2451
Dr. Nikki Littel,1503,4318
Mr. Volney Donnelly,7372,7016
Green Dickens,448,7694
Mr. Landyn Schamberger I,1223,5427
Desi Parker,7699,3859
Deandra Harvey,1632,9937
Verlon Lind,2187,4380
Mrs. Deliah Wilkinson MD,6435,9042
Cherryl Lemke,9526,9972
Melvina O'Conner,4356,8196
Ashlea Casper,5848,9687
Gaige Parisian,2557,7605
Mr. Hideo Osinski,4898,8794
Nakisha Wilderman,5850,467
Tristan Rath,3458,6817
Mr. Adriel Ratke,6447,9684
Tremaine Schinner-Daugherty,5169,1438
Mr. Male Harris,797,8815
Ms. Ella Jaskolski MD,9949,4522
Terese Kub,6806,9381
Mr. Hayward Thiel Sr.,9144,5369
Diann Raynor-Goodwin,7153,8132
Latanya Dickens,238,3711
Mr. Parrish Barrows,9275,7598
Dellia Marquardt,2018,533
Lennie Erdman,1623,1940
Art Medhurst,1566,6088
Eugenio Donnelly V,4329,6467
Delwin Dach,5960,8595
Ms. Lular Blanda,717,6590
Cristal Runolfsson,6979,9467
Heidy Cole-Leffler,3126,1415
Heather Kirlin,6706,9532
Pheobe Lynch,2527,512
Maebell Walsh,3436,7712
Mr. Demarcus VonRueden,2751,2640
Katlynn Haley-Daugherty,5674,621
Sawyer Schmitt,4433,2429
Cary Greenholt,1364,2230
Kadyn Toy,56,5258
Mrs. Leonor Halvorson,850,4665
Syreeta Nolan DDS,5673,8607
Larkin Sanford-Rohan,2654,9928
Everette Moore,5232,3468
Porfirio Lebsack Sr.,4554,9026
Rochelle Bartoletti,1727,3145
Justyn Grant,8409,6758
Olaf Reynolds,1394,4961
Layton Lueilwitz IV,2581,3912
Dink O'Kon-Altenwerth,4799,9701
Amiah Padberg-Ernser,7679,4188
Shiela Bailey,2675,6914
Miss Arleth Kertzmann,529,7982
Stanley Beier II,4003,2617
Sheyla Ward,4754,8665
Claudio Turcotte,5873,313
Taraji O'Hara PhD,5538,7015
Iliana Hilll,4536,9431
Dr. Harper Bogisich,9004,5436
Dr. Curley Heller,7227,7342
Ruthe Sporer,1011,7973
Ariane Flatley,3364,179
Mafalda Marquardt,6094,1777
Samiyah Hermann,5006,2233
Arnulfo Cassin,2115,2507
Dallas Koch,9130,4952
Francisco Kutch,732,5865
Matias Mosciski,8257,1045
Laurance Spinka,414,9533
Dr. Almon Roob I,2788,866
Robbin Bednar,4896,5632
Dr. Marquise Pfeffer Sr.,1147,3673
Elliott Ziemann-Hilll,4650,4650
Mr. Bartley Stamm Jr.,3908,1986
Chloe Breitenberg,6622,7789
Nicklaus Connelly DVM,6576,2689
Bernetta Goldner,6118,6924
Alexandra Heaney,4519,9931
Amos Erdman,6711,1664
Beaulah Jakubowski,3274,9675
Illa Orn,9123,7742
Myla Greenfelder,666,8457
Tisha Williamson,8953,7760
Lonie Metz,7919,9746
Andre Kihn-O'Hara,4074,9413
Mrs. Lady Rath DVM,2503,1031
Liam Schmitt-Medhurst,2366,8708
Clare Thompson-Koepp,5116,4665
Margery Walsh,9204,7294
Anfernee Kirlin,8564,2653
Sheree Kuhlman,8793,7225
Violeta Torphy,7341,9048
Adrien Larson-Harris,5421,460
Mrs. Ozella Yundt DVM,6720,3567
Randolf Fahey,6482,6420
Mrs. Araceli Crist DDS,2005,7961
Mr. Monty Breitenberg IV,5194,5087
Mrs. Dannie Klein DVM,4745,9141
Miss Madilynn Labadie DVM,8777,8895
Tony Stoltenberg,4485,8914
Noretta Farrell,5471,9655
Gorge Williamson MD,669,269
Iyana Blanda,2301,3842
Aisha Bode,5948,4864
Adrianna Ortiz,1640,3624
Ms. London Rohan,6002,766
Hillary Pouros,9419,1479
Amil Dicki,3657,1062
Caryn Walker,1936,9266
Ovid Toy,9125,3375
Mr. Simpson Herzog,503,7316
Courtland Fadel II,6031,5178
Daren Halvorson,5145,3677
Mrs. Arnetta Macejkovic,5840,7969
Kiersten Reilly MD,9260,2054
Kaiden Reilly,3408,4090
Mrs. Milissa Wisoky,4620,6203
Marjory Huel-O'Reilly,3354,1362
Buster Glover,8774,6797
Juwan Nader,9605,6983
Davie Upton,9020,435
Fletcher Schamberger,6074,6325
Edith Wilderman-Monahan,1174,2668
Elza Hudson,1020,4591
Sheena Swaniawski,5339,3674
Crockett Rath MD,397,5690
Celestia Kuhlman,8278,6415
Colin Hartmann,1475,2966
Lem Murphy,2082,8966
Sybilla Bechtelar,7669,5900
Ludwig Hills,9805,9145
Lockie Mertz,3535,7661
Kelby Blick,1389,2170
Mrs. Arleen Treutel MD,9808,7165
Mr. Brian Rolfson,7718,15
Gerrit Beier,6838,3516
Collette Padberg,3671,4754
Lucien Bartell,7869,6646
Dr. Doc Fadel III,2512,6197
Kayla Keebler,4781,9511
Otto Hills,257,1325
Foch Cassin-Koss,4243,6599
Isom Roob III,1317,8623
Domingo Kassulke-Hirthe,8097,269
Jessee Heidenreich,7122,3903
Dr. Rudolf Fahey IV,5820,318
Winter Rowe,3121,5512
Sheridan Jaskolski,7104,5086
Shawnee Marquardt,7836,3356
Amara Powlowski,9916,1484
Sebrina Kuvalis,3230,3708
Jared Kuhn,6821,2220
Casey Reichel,7879,7183
Sondra Rogahn,7154,2140
Bernadette Fritsch-Harvey,6919,1222
Jordi Ullrich,3148,1666
Emmalee Skiles,2485,4723
Addisyn Hahn,1338,460
Lisandro Champlin,8660,2460
Mitchell Walker-Keeling,8229,5201
Brennen Klocko,3369,9888
Michelle Cronin,468,9209
Aja Hayes,8573,4422
Harley VonRueden,5231,4251
Dr. Tilden Hansen PhD,7968,5051
Miss Mallorie Miller,2984,1996
Brandy Christiansen,249,3941
Shelvia Abernathy,5429,8998
Keena Auer,6991,7848
Miss Pinkie Koss DVM,628,5412
Sharen Herzog,4368,9168
Adela Kunze,6184,2725
Shonna Turcotte DVM,8313,4907
Cristy Johns-Purdy,9533,1671
Elwin Jerde-Gaylord,417,3991
Yoshiko O'Hara,5729,5683
Judy Schmidt-McGlynn,7363,2691
Eloy Torp DDS,5944,3494
Octave Price,1581,1938
West Leffler,8740,4587
Chin Stehr-Lang,974,8918
Waldemar Yundt,8929,4322
Araminta Blick,6674,2616
Ms. Dyan Fritsch,5386,2526
Horatio Lemke II,1825,3876
Angus Schaden,730,9569
Manly Tillman,4202,8984
Windell Jacobs,7312,6992
Dr. Harman Fahey,5284,4265
Tristian Pollich,1710,4008
Darius Berge,4860,6782
Cammie Pouros-Towne,3756,2594
Florie Prosacco DDS,1528,4921
Liane Blick-Kozey,3565,9602
Keegan Little,2724,1640
Mrs. Krystin Kerluke PhD,6438,6908
Dwaine Wiegand,9364,5487
Mrs. Alleen Goodwin,3227,6445
Elnora Bogisich,5003,7491
Wilford Hammes,6117,6330
Mireya Konopelski-Steuber,5789,429
Dr. Louann Zieme PhD,9418,1100
Rashaad Lind,1876,2626
Mr. Brien Greenholt,8556,2558
Isidore Nikolaus III,4238,1834
Giovanni O'Connell,963,1136
Dr. Ica Crist PhD,9588,2139
Stephaine Berge,7975,8651
Cristina Vandervort MD,3789,4083
Refugio Dach-Schmeler,9819,2118
Arletta Murazik-Hilll,2753,3760
Brayan Bosco,2390,1644
Joel Wunsch-Zboncak,9765,3189
Henriette Bernhard,5921,9651
Emmie Jenkins,8535,9352
Marlo Runolfsdottir,3486,3772
Malvin Howell-Bashirian,356,4265
Fitzgerald Towne,5432,4201
Yetta Wuckert,6375,5890
Bobbie Wuckert PhD,1073,6654
Ms. Mamie Anderson DVM,9616,8794
Mrs. Maci Hickle,1307,6493
Sondra Hintz,3867,1606
Benjamine Spencer,7966,2517
Mr. Merlyn Bailey,3472,9881
Granville Durgan,9988,658
Dr. Bambi Sawayn,637,5862
Kenya Hand PhD,5303,1625
Arlen Brekke,8370,3335
Isidro Stroman II,7130,5108
Mr. Page Trantow,4013,9882
Roberto O'Keefe,3241,5704
Rodger Feeney-Abernathy,8668,9576
Dustan Bernhard,3807,5097
Iver Yost,9362,8205
Mr. Clovis Bergstrom,2570,3773
Daxton Feil,554,8408
Ms. Liza Tillman MD,5782,7524
Frida Ernser,3179,6197
Mikal Gibson-Mills,2809,4561
Patricia Leuschke-Wehner,7828,8646
Porfirio Sauer,6567,8646
Ignacio Dare,9981,4039
Vince Cole,8523,8340
Denita Fay,8757,1861
Tressie Walker,1042,6293
Daisey Hodkiewicz,4595,7726
Peyton Raynor,6078,1202
Jaime Bailey DVM,9450,8211
Octavius Monahan,8411,2522
Moira Emard,9120,1012
Adelard Halvorson,2129,281
Alys Eichmann,3312,6896
Raven Rohan MD,3860,791
Ms. Kinley Paucek DVM,6596,4668
Laddie Weissnat,8961,6513
Miss Henrietta Harris DDS,9143,3153
Sherrie Boyle,5022,2715
Beyonce Feest,7982,4390
Obie Gaylord,7850,6310
Anitra Dicki,5586,3576
Donnie Hermiston,7119,581
Clotilde Heaney PhD,9853,1151
Mr. Tobin Langworth,5829,5540
Dr. Kamari Boyer,1067,6621
Ms. Milda O'Hara,5793,4676
Maximiliano Krajcik,205,5007
Hoy Cruickshank,5419,3821
Mrs. Sariah Labadie DDS,1026,4257
Jettie Conn,3477,7342
Mr. Loy Brakus,693,1368
Mrs. Ivana Bruen DDS,8828,9015
Liza Larkin,3814,6993
Britt Franecki,8414,5337
Iris Powlowski,617,3231
Shelva Armstrong,3387,3772
Jaylee Heller,6957,4783
Miss Roseanne O'Hara,720,4117
Kaycee Rice-Volkman,8439,6982
Ms. Jada Purdy,9855,5331
Kathryne Kozey DDS,1151,404
Mrs. Vela Botsford PhD,7659,8686
Elmore Mayer,837,4629
Tim Bauch,8048,8069
Audley Bashirian,4270,5170
Mandie Swaniawski,752,262
Anais Gleason,537,8484
Kristen Funk,164,5580
Ms. Claire Goyette MD,4888,1879
Dortha Ritchie,8516,7770
Dr. Flem Auer DVM,9675,5546
Almira Osinski,7219,147
Tinnie Pacocha,3188,6922
Delma Lesch,8837,2566
Torrance Swaniawski IV,43,248
Killian Wolff,8493,7900
Antonia Stroman-D'Amore,1988,1589
Dr. Josue Ritchie IV,4018,9990
Bryson Pacocha III,4611,2615
Elsa Pacocha,7346,8648
Netta Kulas,115,1743
Nyree Ritchie,6453,5183
Mrs. Winnifred Grant,1115,8393
Mrs. Jeanna Jaskolski PhD,4537,1472
Son Orn,6795,7079
Julious Hoppe PhD,2749,8402
Mr. Lucious Considine,3918,2310
Stan Sporer,5013,656
Deidre Pfannerstill DDS,516,28
Shyheim Mann,6282,3331
Silas Roberts,1357,3628
Paul Kihn-Connelly,5386,743
Mrs. Ina Kassulke MD,5685,2624
Lucious Ankunding,6968,1616
Kory Hand,1370,8644
Haylie Gaylord PhD,1877,9899
Ladonna Friesen,6608,6081
Mr. Trystan Reinger,7015,2311
Arturo West-Hoeger,115,62
Mr. Brenden Hahn DVM,1546,3548
Kaylee Johnston,1005,8828
Eartha Kohler MD,5100,317
Haywood McLaughlin III,3284,2515
Brion Orn,150,91
Gladyce Reichel-Bednar,364,9844
